objID,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
582093500493070640,756,20,3,756,304,6,229.013558,-0.10863,21.941,20.797,20.461,20.314,20.302,0.147,0.026,0.027,0.036,0.129
582093500493073198,756,20,3,756,2862,6,229.012259,-0.106399,22.786,21.45,21.202,21.027,21.168,0.285,0.04,0.048,0.063,0.256
582093500493070627,756,20,3,756,291,6,229.01242,-0.110108,21.085,19.881,19.298,19.058,18.998,0.078,0.014,0.012,0.015,0.046
582093500493070629,756,20,3,756,293,3,229.009014,-0.108526,21.638,19.94,19.371,19.238,19.494,0.139,0.016,0.014,0.019,0.082
582093500493072166,756,20,3,756,1830,6,229.012177,-0.103744,23.052,21.844,21.467,21.29,21.483,0.365,0.057,0.062,0.083,0.346
582093500493072168,756,20,3,756,1832,6,229.011457,-0.104468,23.384,22.161,21.802,21.645,20.202,0.466,0.073,0.082,0.112,0.12
582093500493070625,756,20,3,756,289,6,229.02003,-0.107681,19.862,18.4,17.759,17.458,17.352,0.032,6.317E-3,5.201E-3,5.527E-3,0.014
582093500493070639,756,20,3,756,303,3,229.015112,-0.112887,21.455,20.434,20.074,19.891,20.022,0.123,0.024,0.025,0.033,0.134
582093500493070644,756,20,3,756,308,3,229.005616,-0.108593,19.366,17.691,17.491,17.29,16.668,0.204,0.03,0.03,0.03,0.073
582093500493071576,756,20,3,756,1240,3,229.015191,-0.101767,24.104,23.12,22.633,22.11,22.198,0.852,0.195,0.201,0.204,0.668
582093500493072162,756,20,3,756,1826,6,229.014142,-0.103704,25.618,21.496,19.971,18.755,18.155,0.542,0.044,0.019,0.012,0.023
582093500493072164,756,20,3,756,1828,6,229.013109,-0.10205,22.536,21.378,21.059,20.835,20.925,0.238,0.039,0.043,0.055,0.216
582093500493072165,756,20,3,756,1829,6,229.013107,-0.100928,22.448,21.628,21.247,21.264,21.005,0.222,0.047,0.051,0.08,0.231
582093500493072460,756,20,3,756,2124,6,229.016959,-0.104757,22.445,21.434,21.119,21.008,21.027,0.231,0.042,0.048,0.067,0.249
582093500493070621,756,20,3,756,285,6,229.00467,-0.10723,15.451,14.849,14.095,14.366,12.942,4.174E-3,0.013,9.156E-3,0.012,3.383E-3
582093500493070631,756,20,3,756,295,3,229.008513,-0.117002,20.997,19.918,19.522,19.376,19.381,0.084,0.017,0.016,0.021,0.075
